sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
6,5.4,6.4,2754.0,121,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
7,6.4,7.4,1046.0,93,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
8,7.4,8.4,457.0,43,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
9,8.4,9.4,695.0,61,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
10,9.4,10.4,917.0,69,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
11,10.4,11.4,3614.0,137,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
12,11.4,12.4,4213.0,145,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
13,12.4,13.4,1814.0,116,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
14,13.4,14.4,832.0,68,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
15,14.4,15.4,754.0,73,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
16,15.4,16.4,833.0,69,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
17,16.4,17.4,916.0,65,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
18,17.4,18.4,754.0,66,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
19,18.4,19.4,1047.0,74,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
20,19.4,20.4,2153.0,136,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
21,20.4,21.4,808.0,66,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
22,21.4,22.4,3689.0,128,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
23,22.4,23.4,1425.0,92,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
24,23.4,24.4,4696.0,139,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
25,24.4,25.4,1736.0,101,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
26,25.4,26.4,5300.0,144,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
27,26.4,27.4,999.0,71,2026-05-21 03:43:33,TG42:1-FA18:1,TG,738.6605,439.378
